park,x_cm,z_cm,season,month
고척,9.671849596108249,16.49454725196875,2025,6
광주,5.764342822673488,7.4165249454321565,2025,6
대구,0.9401471575698208,3.2814851107816505,2025,6
대전신,5.488204400683963,4.1692362085735315,2025,6
문학,-9.004507421929754,8.674104316093038,2025,6
사직,2.861505144008471,-5.739438005679831,2025,6
수원,20.948439982743558,13.174452679411617,2025,6
잠실,0.0,0.0,2025,6
창원,3.55853532440515,5.740863015923521,2025,6
고척,11.123612411564256,14.624197487462158,2025,7
광주,7.104068553025476,5.403731986976494,2025,7
대구,1.454832944337431,2.332032377127039,2025,7
대전신,7.075817810189644,1.7884242294255674,2025,7
문학,-5.003059563160967,7.873263341693581,2025,7
사직,6.427002403408162,-8.300260718640462,2025,7
수원,24.382981983582493,12.043254233186545,2025,7
잠실,0.0,0.0,2025,7
창원,5.555576646338973,2.517615408759598,2025,7
고척,9.408385747717967,11.684203827569064,2025,8
광주,4.683915572554955,2.342226201037815,2025,8
대구,0.5410887993180804,-0.3366523891422848,2025,8
대전신,5.8259318793020825,-0.774274701885322,2025,8
문학,-5.85657252803713,4.68073540334097,2025,8
사직,3.131771709361489,-10.728728794297702,2025,8
수원,23.449584288807202,8.057500790542958,2025,8
잠실,0.0,0.0,2025,8
창원,2.3001403646884246,1.4765105336376845,2025,8
고척,8.382866128679737,12.065142887406111,2025,9
광주,4.965843477638403,1.6020660272450618,2025,9
대구,1.4745333557912512,2.059103171528948,2025,9
대전신,6.9523222377717016,1.7564406063092879,2025,9
문학,-8.33811151664625,11.228301817437648,2025,9
사직,3.8353941494642125,-7.190460312362613,2025,9
수원,20.933980394885776,9.656332913916517,2025,9
잠실,0.0,0.0,2025,9
창원,1.0012733486510181,2.2108569843647006,2025,9
